,1. open,2. high,3. low,4. close,5. volume,EMA,Volume_Oscillator,RSI,%K,%D,+DI,-DI,ADX,PVT
6649,21.17,21.17,21.17,21.17,5.0,21.525331648729296,-99.99461809750824,25.439259399206563,0.0,33.33333333333328,24.58131234556636,73.0850187608678,31.98391932235772,-23281.538407398955
6650,21.16,21.16,21.16,21.16,24.0,21.4035544324862,-99.974047900367,25.31966904851457,0.0,33.33333333333328,25.039619651347305,73.51542835834825,31.67327776313447,-23281.54974419631
6651,21.16,21.16,21.16,21.16,527.0,21.322369621657465,-99.42920767092902,25.439259399206563,0.0,0.0,25.156879273204304,73.85969841715846,31.36263620391123,-23281.54974419631
6652,21.08,21.08,21.08,21.08,100.0,21.241579747771645,-99.89155265687856,23.842408145197027,0.0,0.0,23.5903741436854,75.48744071666971,30.8870320776411,-23281.92781602996
6653,21.21,21.21,21.21,21.21,1.0,21.2310531651811,-99.9988992629281,31.72068636796959,18.57142857142886,6.19047619047623,30.94216714331132,68.27931363203041,31.81342720217905,-23281.921649047035
6654,21.2,21.2,21.2,21.2,388.0,21.220702110120733,-99.57169342448218,30.937251787132794,17.142857142857217,11.904761904761967,30.9372517871328,69.0627482128672,32.77284848288154,-23282.10458162601
6655,21.08,21.08,21.07,21.08,5.0,21.17380140674716,-99.99447916843026,28.24510514865858,1.4084507042250702,12.374245472836993,28.04175665946742,71.95824334053258,34.11833578060608,-23282.1328835128
6656,21.13,21.13,21.12,21.12,308.0,21.155867604498106,-99.65973787664282,30.92152627789804,7.042253521126852,8.531187122736323,31.192334989354364,68.80766501064564,32.23226694569075,-23281.548443285097
6657,21.12,21.12,21.12,21.12,5.0,21.143911736332072,-99.99447340075416,29.3966151582048,7.042253521126852,5.164319248826202,29.695431472081392,70.3045685279186,33.46722237249913,-23281.548443285097
6658,21.08,21.08,21.08,21.08,187.0,21.122607824221383,-99.79300703222631,23.085802231627863,1.4084507042250702,5.164319248826202,23.493747631678893,76.5062523683211,34.66633215387639,-23281.902609951765
6659,21.12,21.12,21.12,21.12,460.0,21.121738549480924,-99.49041594244802,27.41935483871009,7.042253521126852,5.164319248826202,27.777777777778105,72.22222222222189,37.09544929151362,-23281.029744676624
6660,21.11,21.11,21.11,21.11,1.0,21.11782569965395,-99.99889049233292,27.8688524590168,5.633802816901282,4.694835680751011,28.225806451613224,71.77419354838678,38.92717694873466,-23281.03021816147
6661,21.12,21.12,21.12,21.12,50.0,21.118550466435966,-99.944450575455,28.45528455284601,7.042253521126852,6.572769953051605,28.8000000000004,71.19999999999959,40.85077317590696,-23281.00653270434
6662,21.09,21.09,21.09,21.09,1.0,21.109033644290648,-99.99888771604726,27.777777777778223,2.816901408450641,5.164319248826202,28.125000000000373,71.87499999999962,42.86436940307927,-23281.007953158885
6663,21.12,21.12,21.12,21.12,1.0,21.112689096193765,-99.99888612503509,21.551724137931544,35.71428571428608,15.1911468812878,22.033898305085152,77.96610169491484,45.42666211084101,-23281.00653068378
6664,21.11,21.11,21.11,21.11,100.0,21.111792730795845,-99.88843639517168,44.64285714285716,28.571428571427848,22.367538564721468,44.82758620689653,55.17241379310347,42.805472705543686,-23281.053879168627
6665,21.19,21.19,21.19,21.19,5.0,21.137861820530564,-99.9944167702356,52.38095238095238,85.71428571428608,49.99999999999994,52.30769230769232,47.69230769230767,39.83406298271514,-23281.03493080292
6666,21.0325,21.21,21.0,21.0,2387.0,21.09190788035371,-97.31494099788132,40.24390243902468,0.0,38.09523809523792,39.5348837209305,58.13953488372077,37.82480222203552,-23302.43795109551
6667,21.2223,21.2223,21.0376,21.0376,24.0,21.07380525356914,-99.97295650730288,47.2736625514406,16.914080071975295,34.20945526208707,35.14915693904055,41.9036216701587,34.91719658333757,-23302.39497966694
6668,21.68,21.68,21.68,21.68,4.0,21.27587016904609,-99.99548260123868,68.21705426356556,100.0,38.97136002399171,44.89337822671155,27.72826302238097,33.984280553544025,-23302.272836456686
6669,21.19,21.19,21.19,21.19,40.0,21.247246779364065,-99.9546079288222,49.71751412429385,27.941176470588434,48.28508551418785,34.09033939940856,45.11956685215823,32.37085083402248,-23303.17689549728
6670,21.2285,21.2285,21.2285,21.2285,10.0,21.240997852909377,-99.98862946378824,54.39739413680784,33.60294117647066,53.84803921568631,37.75220680958392,40.45817570407743,29.673742316509752,-23303.15872654966
6671,21.13,21.13,21.13,21.13,45.0,21.20399856860625,-99.94854652508958,50.28620492272462,19.11764705882339,26.887254901960773,34.2521903981145,44.499666957011954,28.033544431334104,-23303.36752604091
6672,21.2,21.22,21.2,21.22,1150.0,21.20933237907084,-98.68401553777132,52.72182906913438,32.35294117647044,28.35784313725477,37.15041387079396,42.5380810109224,25.776995937589096,-23298.46927710575
6673,21.2293,21.2293,21.2293,21.2293,50.0,21.21598825271389,-99.94256382451412,54.13275757072466,33.72058823529392,28.3970588235292,38.18000994530089,41.1984087518648,22.496331847250943,-23298.4473638164
6674,21.3,21.3,21.3,21.3,1.0,21.243992168475927,-99.99884892042164,54.89929232444199,44.11764705882365,36.73039215686261,39.10956555811336,40.57892932360295,19.65629451428188,-23298.444033513468
