,date,1. open,2. high,3. low,4. close,5. volume,EMA,Volume_Oscillator,RSI,%K,%D,+DI,-DI,ADX,PVT,Target,Comprehensive_RRR
0,2024-12-30 04:00:00,2.36,2.36,2.36,2.36,10.0,2.36,0.0,49.21912909937505,43.196544276457914,42.953016067311445,40.81081081081088,41.93705386112906,17.66181613530682,605.5296820954677,0.0,0.0009679953836365946
1,2024-12-30 04:01:00,2.36,2.36,2.36,2.36,1.0,2.36,-81.81818181818183,49.21912909937505,43.196544276457914,42.953016067311445,40.81081081081088,41.93705386112906,17.66181613530682,0.0,0.0,0.0009679953836365946
2,2024-12-30 04:02:00,2.38,2.38,2.38,2.38,3.0,2.3666666666666667,-35.71428571428572,100.0,100.0,100.0,100.0,0.0,100.0,0.025423728813559254,0.008474576271186418,0.0009679953836365946
3,2024-12-30 04:04:00,2.46,2.46,2.46,2.46,2.0,2.397777777777778,-50.0,100.0,100.0,100.0,100.0,0.0,100.0,0.09265061956986198,0.03361344537815136,0.0009679953836365946
4,2024-12-30 04:12:00,2.38,2.47,2.38,2.47,126.0,2.421851851851852,343.6619718309859,100.0,100.0,100.0,52.63157894736836,42.10526315789469,70.37037037037037,0.6048457415210913,0.004065040650406582,0.0009679953836365946
5,2024-12-30 04:48:00,2.4,2.4,2.36,2.36,168.0,2.401234567901235,225.16129032258067,50.0,0.0,66.66666666666667,33.33333333333328,33.33333333333328,52.77777777777778,-6.876935634997142,-0.044534412955465674,0.0009679953836365946
6,2024-12-30 04:49:00,2.38,2.38,2.37,2.37,6.0,2.3908230452674903,-86.70886075949366,52.1739130434783,9.090909090909275,36.363636363636424,31.249999999999957,31.249999999999957,42.22222222222222,-6.851511906183584,0.004237288135593209,0.0009679953836365946
7,2024-12-30 04:50:00,2.35,2.35,2.35,2.35,8.0,2.3772153635116604,-80.24691358024691,48.00000000000005,0.0,3.0303030303030916,29.411764705882316,35.294117647058776,36.7003367003367,-6.9190224547067904,-0.008438818565400852,0.0009679953836365946
8,2024-12-30 04:57:00,2.34,2.35,2.29,2.29,139.0,2.3481435756744404,170.19438444924407,38.7096774193549,0.0,3.0303030303030916,24.99999999999997,44.99999999999995,35.53906411049268,-10.46795862491956,-0.025531914893617058,0.0009679953836365946
9,2024-12-30 05:00:00,2.29,2.29,2.27,2.27,138.0,2.3220957171162935,129.6173044925125,36.363636363636424,0.0,0.0,23.809523809523782,47.619047619047564,35.26334776334776,-11.673198799592052,-0.008733624454148492,0.0009679953836365946
10,2024-12-30 05:03:00,2.27,2.27,2.27,2.27,200.0,2.304730478077529,174.6566791510612,36.363636363636424,0.0,0.0,23.809523809523782,47.619047619047564,35.048901715568384,-11.673198799592052,0.0,0.0009679953836365946
11,2024-12-30 05:06:00,2.28,2.28,2.28,2.28,200.0,2.296486985385019,139.76023976023976,38.23529411764708,4.999999999999889,1.6666666666666297,25.581395348837145,46.51162790697672,34.44723735046317,-10.792141530869623,0.004405286343612147,0.0009679953836365946
12,2024-12-30 05:24:00,2.29,2.29,2.29,2.29,12.0,2.2943246569233464,-84.60019743336625,40.00000000000005,10.0,4.999999999999964,27.27272727272724,45.45454545454541,33.58839759133015,-10.739509951922253,0.004385964912280826,0.0009679953836365946
13,2024-12-30 05:27:00,2.28,2.28,2.25,2.28,400.0,2.289549771282231,296.3198867657466,38.888888888888914,13.636363636363535,9.545454545454476,24.99999999999998,49.99999999999996,33.567142236497084,-12.486234842751996,-0.004366812227074357,0.0
14,2024-12-30 05:38:00,2.28,2.28,2.28,2.28,356.0,2.286366514188154,201.86546071226678,38.888888888888914,13.636363636363535,12.424242424242356,24.99999999999998,49.99999999999996,33.549156936253716,-12.486234842751996,0.0,0.0
15,2024-12-30 05:46:00,2.27,2.27,2.27,2.27,200.0,2.2809110094587695,62.51904520060945,37.83783783783789,9.090909090909092,12.121212121212054,24.489795918367335,51.02040816326524,33.66244109331667,-13.363427825208117,-0.004385964912280604,0.0
16,2024-12-30 05:48:00,2.26,2.26,2.26,2.26,444.0,2.273940672972513,212.80563613758807,36.84210526315792,4.545454545454445,9.090909090909024,23.99999999999998,51.99999999999996,33.87441870463942,-15.319374961772057,-0.00440528634361248,0.0
17,2024-12-30 05:56:00,2.27,2.27,2.26,2.26,376.0,2.269293781981675,142.66762280387232,33.33333333333337,4.545454545454445,6.060606060605994,22.44897959183675,53.06122448979585,29.91045474067545,-15.319374961772057,0.0,0.0
18,2024-12-30 06:02:00,2.26,2.26,2.26,2.26,624.0,2.26619585465445,247.3776736009376,14.285714285714405,4.545454545454445,4.545454545454445,7.31707317073175,63.41463414634136,28.531144395847853,-15.319374961772057,0.0,0.0
19,2024-12-30 06:03:00,2.28,2.3,2.28,2.3,200.0,2.2774639031029666,10.711320232493769,22.580645161290334,33.333333333333236,14.14141414141404,19.444444444444482,49.999999999999936,30.723736988440443,-11.779551952922494,0.017699115044247815,0.005828922313424737
20,2024-12-30 06:17:00,2.3,2.3,2.3,2.3,3.0,2.284975935401978,-98.25774336283186,35.00000000000003,38.46153846153836,25.446775446775348,28.000000000000064,63.99999999999994,33.33243264061435,-11.779551952922494,0.0,0.0
21,2024-12-30 06:19:00,2.3,2.3,2.3,2.3,1.0,2.289983956934652,-99.39176112800664,31.578947368421012,49.99999999999978,40.598290598290454,30.43478260869572,69.56521739130427,35.94112829278825,-11.779551952922494,0.0,0.0
22,2024-12-30 06:21:00,2.32,2.32,2.32,2.32,10.0,2.299989304623101,-93.65867107802592,42.10526315789468,69.99999999999977,52.82051282051264,39.13043478260875,60.86956521739124,36.78434304904648,-11.692595431183364,0.008695652173912993,0.0
23,2024-12-30 06:22:00,2.32,2.32,2.32,2.32,96.0,2.306659536415401,-38.114423851732475,61.53846153846143,100.0,73.33333333333319,52.94117647058829,47.058823529411704,35.271738007029676,-11.692595431183364,0.0,0.0
24,2024-12-30 06:26:00,2.28,2.28,2.28,2.28,3.0,2.297773024276934,-97.98711755233495,53.333333333333265,42.85714285714268,70.9523809523808,47.368421052631646,52.63157894736836,33.4003929777899,-11.744319569114397,-0.017241379310344862,0.0
